-10	0
-9.8438	4
-9.6875	3
-9.5313	1
-9.375	2
-9.2188	3
-9.0625	2
-8.9063	2
-8.75	6
-8.5938	7
-8.4375	0
-8.2813	2
-8.125	0
-7.9688	5
-7.8125	3
-7.6563	1
-7.5	9
-7.3438	6
-7.1875	7
-7.0313	8
-6.875	3
-6.7188	4
-6.5625	0
-6.4063	6
-6.25	4
-6.0938	7
-5.9375	4
-5.7813	5
-5.625	3
-5.4688	6
-5.3125	6
-5.1563	6
-5	2
-4.8438	8
-4.6875	2
-4.5313	5
-4.375	5
-4.2188	4
-4.0625	3
-3.9063	5
-3.75	5
-3.5938	5
-3.4375	6
-3.2813	3
-3.125	1
-2.9688	3
-2.8125	4
-2.6563	2
-2.5	3
-2.3438	3
-2.1875	2
-2.0313	7
-1.875	0
-1.7188	4
-1.5625	2
-1.4063	3
-1.25	3
-1.0938	1
-0.9375	1
-0.78125	2
-0.625	4
-0.46875	0
-0.3125	3
-0.15625	1
0	3
0.15625	5
0.3125	4
0.46875	3
0.625	0
0.78125	6
0.9375	2
1.0938	3
1.25	1
1.4063	0
1.5625	5
1.7188	2
1.875	3
2.0313	6
2.1875	6
2.3438	3
2.5	4
2.6563	4
2.8125	3
2.9688	5
3.125	4
3.2813	7
3.4375	9
3.5938	17
3.75	54
3.9063	75
4.0625	76
4.2188	36
4.375	14
4.5313	8
4.6875	10
4.8438	8
5	5
5.1563	4
5.3125	2
5.4688	6
5.625	3
5.7813	3
5.9375	4
6.0938	2
6.25	3
6.4063	6
6.5625	5
6.7188	8
6.875	6
7.0313	5
7.1875	5
7.3438	4
7.5	3
7.6563	4
7.8125	4
7.9688	3
8.125	7
8.2813	3
8.4375	5
8.5938	1
8.75	1
8.9063	1
9.0625	3
9.2188	4
9.375	4
9.5313	9
9.6875	4
9.8438	4
10	0
